           F  Fieldvalue
 ----------- -----------
 -1.8000E+02  2.7404E-08
 -1.7650E+02  3.2144E-03
 -1.7301E+02  6.3808E-03
 -1.6951E+02  9.4524E-03
 -1.6602E+02  1.2383E-02
 -1.6252E+02  1.5130E-02
 -1.5903E+02  1.7652E-02
 -1.5553E+02  1.9911E-02
 -1.5204E+02  2.1875E-02
 -1.4854E+02  2.3513E-02
 -1.4505E+02  2.4801E-02
 -1.4155E+02  2.5720E-02
 -1.3806E+02  2.6257E-02
 -1.3456E+02  2.6403E-02
 -1.3107E+02  2.6157E-02
 -1.2757E+02  2.5521E-02
 -1.2408E+02  2.4506E-02
 -1.2058E+02  2.3127E-02
 -1.1709E+02  2.1403E-02
 -1.1359E+02  1.9361E-02
 -1.1010E+02  1.7031E-02
 -1.0660E+02  1.4447E-02
 -1.0311E+02  1.1648E-02
 -9.9612E+01  8.6764E-03
 -9.6117E+01  5.5752E-03
 -9.2621E+01  2.3908E-03
 -8.9126E+01 -8.2970E-04
 -8.5631E+01 -4.0379E-03
 -8.2136E+01 -7.1862E-03
 -7.8641E+01 -1.0228E-02
 -7.5146E+01 -1.3118E-02
 -7.1650E+01 -1.5813E-02
 -6.8155E+01 -1.8274E-02
 -6.4660E+01 -2.0463E-02
 -6.1165E+01 -2.2348E-02
 -5.7670E+01 -2.3901E-02
 -5.4175E+01 -2.5099E-02
 -5.0680E+01 -2.5924E-02
 -4.7184E+01 -2.6364E-02
 -4.3689E+01 -2.6412E-02
 -4.0194E+01 -2.6068E-02
 -3.6699E+01 -2.5336E-02
 -3.3204E+01 -2.4228E-02
 -2.9709E+01 -2.2759E-02
 -2.6214E+01 -2.0953E-02
 -2.2718E+01 -1.8835E-02
 -1.9223E+01 -1.6437E-02
 -1.5728E+01 -1.3795E-02
 -1.2233E+01 -1.0948E-02
 -8.7379E+00 -7.9386E-03
 -5.2427E+00 -4.8109E-03
 -1.7476E+00 -1.6116E-03
  1.7476E+00  1.6116E-03
  5.2427E+00  4.8109E-03
  8.7379E+00  7.9386E-03
  1.2233E+01  1.0948E-02
  1.5728E+01  1.3795E-02
  1.9223E+01  1.6437E-02
  2.2718E+01  1.8835E-02
  2.6214E+01  2.0953E-02
  2.9709E+01  2.2759E-02
  3.3204E+01  2.4228E-02
  3.6699E+01  2.5336E-02
  4.0194E+01  2.6068E-02
  4.3689E+01  2.6412E-02
  4.7184E+01  2.6364E-02
  5.0680E+01  2.5924E-02
  5.4175E+01  2.5099E-02
  5.7670E+01  2.3901E-02
  6.1165E+01  2.2348E-02
  6.4660E+01  2.0463E-02
  6.8155E+01  1.8274E-02
  7.1650E+01  1.5813E-02
  7.5146E+01  1.3118E-02
  7.8641E+01  1.0228E-02
  8.2136E+01  7.1862E-03
  8.5631E+01  4.0379E-03
  8.9126E+01  8.2970E-04
  9.2621E+01 -2.3908E-03
  9.6117E+01 -5.5752E-03
  9.9612E+01 -8.6764E-03
  1.0311E+02 -1.1648E-02
  1.0660E+02 -1.4447E-02
  1.1010E+02 -1.7031E-02
  1.1359E+02 -1.9361E-02
  1.1709E+02 -2.1403E-02
  1.2058E+02 -2.3127E-02
  1.2408E+02 -2.4506E-02
  1.2757E+02 -2.5521E-02
  1.3107E+02 -2.6157E-02
  1.3456E+02 -2.6403E-02
  1.3806E+02 -2.6257E-02
  1.4155E+02 -2.5720E-02
  1.4505E+02 -2.4801E-02
  1.4854E+02 -2.3513E-02
  1.5204E+02 -2.1875E-02
  1.5553E+02 -1.9911E-02
  1.5903E+02 -1.7652E-02
  1.6252E+02 -1.5130E-02
  1.6602E+02 -1.2383E-02
  1.6951E+02 -9.4524E-03
  1.7301E+02 -6.3808E-03
  1.7650E+02 -3.2144E-03
  1.8000E+02  2.7404E-08
